chembl_id,pred_sig_0.1,pred_sig_0.2,pred_sig_0.3,pred_sig_0.4,pred_sig_0.5,pred_sig_0.6,pred_sig_0.7
CHEMBL2105745,0.0,0.0,0.0,0.0,Undefined,Undefined,Undefined
CHEMBL2105746,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2105747,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2105748,0.0,0.0,0.0,Undefined,Undefined,Undefined,Undefined
CHEMBL2105749,0.0,0.0,0.0,0.0,Undefined,Undefined,Undefined
CHEMBL2105750,Undefined,1.0,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2105752,1.0,1.0,1.0,1.0,1.0,1.0,Undefined
CHEMBL2105753,0.0,0.0,0.0,0.0,0.0,Undefined,Undefined
CHEMBL2105754,0.0,0.0,0.0,0.0,0.0,0.0,Undefined
CHEMBL2105755,1.0,1.0,1.0,Undefined,Undefined,Undefined,Undefined
CHEMBL2105756,1.0,1.0,1.0,1.0,Undefined,Undefined,Undefined
CHEMBL2105757,0.0,0.0,0.0,0.0,Undefined,Undefined,Undefined
CHEMBL2105758,0.0,0.0,0.0,Undefined,Undefined,Undefined,Undefined
CHEMBL2105759,0.0,0.0,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2105760,0.0,0.0,0.0,Undefined,Undefined,Undefined,Undefined
CHEMBL2105761,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL2105762,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL2105763,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL2105764,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL2105768,Undefined,0.0,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2105769,Undefined,1.0,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2105770,Undefined,0.0,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2105774,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2105775,0.0,0.0,0.0,Undefined,Undefined,Undefined,Undefined
CHEMBL2105776,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CHEMBL2105778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL2105781,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL2105782,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2105783,1.0,1.0,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2105784,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2105786,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CHEMBL2105787,1.0,1.0,1.0,1.0,Undefined,Undefined,Undefined
CHEMBL2105788,1.0,1.0,1.0,Undefined,Undefined,Undefined,Undefined
CHEMBL2105790,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2105791,1.0,1.0,1.0,1.0,1.0,Undefined,Undefined
CHEMBL2105792,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL2105793,0.0,0.0,0.0,0.0,Undefined,Undefined,Undefined
CHEMBL2105796,1.0,1.0,1.0,Undefined,Undefined,Undefined,Undefined
CHEMBL2105798,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2105801,1.0,1.0,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2105804,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL2105806,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CHEMBL2105807,1.0,1.0,1.0,1.0,Undefined,Undefined,Undefined
CHEMBL2105809,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2105810,0.0,0.0,0.0,0.0,0.0,0.0,Undefined
CHEMBL2105813,Undefined,0.0,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2105814,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2105819,1.0,1.0,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2105824,0.0,0.0,0.0,0.0,0.0,0.0,Undefined
CHEMBL2105825,0.0,0.0,0.0,Undefined,Undefined,Undefined,Undefined
CHEMBL2105826,0.0,0.0,0.0,0.0,0.0,0.0,Undefined
CHEMBL2105828,0.0,0.0,0.0,0.0,0.0,Undefined,Undefined
CHEMBL2105829,0.0,0.0,0.0,0.0,Undefined,Undefined,Undefined
CHEMBL2105831,1.0,1.0,1.0,1.0,Undefined,Undefined,Undefined
CHEMBL2105832,0.0,0.0,0.0,0.0,Undefined,Undefined,Undefined
CHEMBL2105833,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL2105840,0.0,0.0,0.0,0.0,0.0,Undefined,Undefined
CHEMBL2105841,0.0,0.0,0.0,0.0,0.0,Undefined,Undefined
CHEMBL2105842,0.0,0.0,0.0,0.0,0.0,Undefined,Undefined
CHEMBL2105844,1.0,1.0,1.0,1.0,1.0,Undefined,Undefined
CHEMBL2105845,Undefined,1.0,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2105850,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL2105851,0.0,0.0,0.0,0.0,0.0,0.0,Undefined
CHEMBL2105855,0.0,0.0,0.0,0.0,0.0,0.0,Undefined
